iata_code,name,continent,iso_country,municipality
IAN,Bob Baker Memorial Airport,NA,US,Kiana
IAO,Siargao Airport,AS,PH,Del Carmen
IAR,Tunoshna Airport,EU,RU,
IAS,Iaşi Airport,EU,RO,Iaşi
IBA,Ibadan Airport,AF,NG,Ibadan
IBB,General Villamil Airport,SA,EC,Isabela
IBE,Perales Airport,SA,CO,Ibagué
IBI,Iboki Airport,OC,PG,Iboki
IBL,Indigo Bay Lodge Airport,AF,MZ,Bazaruto Island
IBO,Ibo Airport,AF,MZ,Ibo
IBP,Iberia Airport,SA,PE,Iberia
IBR,Hyakuri Airport,AS,JP,Omitama
IBZ,Ibiza Airport,EU,ES,Ibiza
ICA,Icabarú Airport,SA,VE,
ICC,Andrés Miguel Salazar Marcano Airport,SA,VE,Isla de Coche
ICI,Cicia Airport,OC,FJ,Cicia
ICK,Nieuw Nickerie Airport,SA,SR,Nieuw Nickerie
ICL,Schenck Field,NA,US,Clarinda
ICN,Incheon International Airport,AS,KR,Seoul
ICO,Sicogon Airstrip,AS,PH,Sicogon Island
ICR,Nicaro Airport,NA,CU,Nicaro
ICS,Cascade Airport,NA,US,Cascade
ICT,Wichita Eisenhower National Airport,NA,US,Wichita
ICY,Icy Bay Airport,NA,US,Icy Bay
IDA,Idaho Falls Regional Airport,NA,US,Idaho Falls
IDB,Idre Airport,EU,SE,Idre
IDF,Idiofa Airport,AF,CD,Idiofa
IDH,Idaho County Airport,NA,US,Grangeville
IDI,Indiana County/Jimmy Stewart Fld/ Airport,NA,US,Indiana
IDK,Indulkana Airport,OC,AU,
IDN,Indagen Airport,OC,PG,Indagen
IDO,Santa Izabel do Morro Airport,SA,BR,Cristalândia
IDP,Independence Municipal Airport,NA,US,Independence
IDR,Devi Ahilyabai Holkar Airport,AS,IN,Indore
IDY,Île d'Yeu Airport,EU,FR,Île d'Yeu
IEG,Zielona Góra-Babimost Airport,EU,PL,Babimost
IEJ,Ie Jima Airport,AS,JP,Ie
IES,Riesa-Göhlis Airport,EU,DE,Riesa
IEV,Kiev Zhuliany International Airport,EU,UA,Kiev
IFA,Iowa Falls Municipal Airport,NA,US,Iowa Falls
IFF,Iffley Airport,OC,AU,
IFH,Hesa Airport,AS,IR,Hesa
IFJ,Ísafjörður Airport,EU,IS,Ísafjörður
IFL,Innisfail Airport,OC,AU,
IFN,Esfahan Shahid Beheshti International Airport,AS,IR,Isfahan
IFO,Ivano-Frankivsk International Airport,EU,UA,Ivano-Frankivsk
IFP,Laughlin Bullhead International Airport,NA,US,Bullhead City
IFU,Ifuru Airport,AS,MV,Ifuru Island
IGA,Inagua Airport,NA,BS,Matthew Town
IGB,Cabo F.A.A. H. R. Bordón Airport,SA,AR,Ingeniero Jacobacci
